nombre,estado,ciudad,lat,lng,estatus,vendedor,fecha
AT&T,Michoacán,Apatzingan,19.088288,-102.374337,Pendiente,,
AT&T,Michoacán,Apatzingan,19.101764,-102.364185,Pendiente,,
Arall House,Michoacán,Apatzingan,19.085953,-102.354558,Pendiente,,
BlackPhone Store,Michoacán,Apatzingan,19.079347,-102.357954,Pendiente,,
CAC APATZINGAN,Michoacán,Apatzingan,19.073499,-102.348282,Pendiente,,
CELULARES CELUCOMP,Michoacán,Apatzingan,19.083713,-102.354677,Pendiente,,
CREDICEL APATZINGAN,Michoacán,Apatzingan,19.084974,-102.35491,Pendiente,,
"Cablevision De Apatzingan, S.A. De C.V.",Michoacán,Apatzingan,19.088209,-102.353253,Pendiente,,
Call Center Constitución. Distribuidor Autorizado Telcel,Michoacán,Apatzingan,19.084364,-102.354716,Pendiente,,
Cell House,Michoacán,Apatzingan,19.085951,-102.354609,Pendiente,,
Celulares Celucomp,Michoacán,Apatzingan,19.083543,-102.354807,Pendiente,,
Celulares y Computadoras de Apatzingan,Michoacán,Apatzingan,19.08343,-102.353732,Pendiente,,
Coppel Andrade,Michoacán,Apatzingan,19.083589,-102.355933,Pendiente,,
Coppel Canada Constitución,Michoacán,Apatzingan,19.088213,-102.354554,Pendiente,,
Coppel Motos Apatzingán,Michoacán,Apatzingan,19.083346,-102.355098,Pendiente,,
Cyber y Papeleria Blankitha,Michoacán,Apatzingan,19.109869,-102.368522,Pendiente,,
Cybercity Apatzingan,Michoacán,Apatzingan,19.09454,-102.344119,Pendiente,,
DS Celulares,Michoacán,Apatzingan,19.089638,-102.351446,Pendiente,,
ELECTROTECH APATZINGAN,Michoacán,Apatzingan,19.085762,-102.354503,Pendiente,,
Elektra,Michoacán,Apatzingan,19.082966,-102.355182,Pendiente,,
Elektra,Michoacán,Apatzingan,19.089156,-102.353972,Pendiente,,
Elektra,Michoacán,Apatzingan,19.101756,-102.364235,Pendiente,,
FOTO NÚCLEO MAR,Michoacán,Apatzingan,19.093271,-102.353546,Pendiente,,
Fashion Case Store,Michoacán,Apatzingan,19.09144,-102.353704,Pendiente,,
Fibrenza Telecom,Michoacán,Apatzingan,19.087805,-102.353032,Pendiente,,
GEOS,Michoacán,Apatzingan,19.080906,-102.352963,Pendiente,,
Global Telecomunicaciones,Michoacán,Apatzingan,19.084219,-102.349118,Pendiente,,
Impronta Distribuidor Autorizado Telcel,Michoacán,Apatzingan,19.089706,-102.350862,Pendiente,,
Ingeniería Celular,Michoacán,Apatzingan,19.082062,-102.353688,Pendiente,,
JoxMóvil Apatzingán,Michoacán,Apatzingan,19.090096,-102.352594,Pendiente,,
LA CASA DE LAS CARCASAS PASEO AKIA,Michoacán,Apatzingan,19.087142,-102.373646,Pendiente,,
LA NUBE DEL CELULAR,Michoacán,Apatzingan,19.086107,-102.352209,Pendiente,,
Livestore,Michoacán,Apatzingan,19.087506,-102.37412,Pendiente,,
MAX TELCEL,Michoacán,Apatzingan,19.08443,-102.354885,Pendiente,,
Macropay,Michoacán,Apatzingan,19.084182,-102.355985,Pendiente,,
Macropay,Michoacán,Apatzingan,19.085851,-102.354836,Pendiente,,
Marrocell,Michoacán,Apatzingan,19.08198,-102.352955,Pendiente,,
Master Music,Michoacán,Apatzingan,19.088225,-102.355398,Pendiente,,
Mediacom,Michoacán,Apatzingan,19.085903,-102.357358,Pendiente,,
Movistar de la constitución,Michoacán,Apatzingan,19.083501,-102.354952,Pendiente,,
Nooptronics - Tienda de Electrónica y Robótica,Michoacán,Apatzingan,19.089745,-102.350762,Pendiente,,
OXMÓVIL,Michoacán,Apatzingan,19.090082,-102.352546,Pendiente,,
OXXO 22 de Octubre MLM,Michoacán,Apatzingan,19.076178,-102.351936,Pendiente,,
OXXO Apa Limonera,Michoacán,Apatzingan,19.089356,-102.379282,Pendiente,,
OXXO Apa Zaragoza MLM,Michoacán,Apatzingan,19.094876,-102.364025,Pendiente,,
OXXO Apa del Sol MOR,Michoacán,Apatzingan,19.087786,-102.354317,Pendiente,,
OXXO Esteban Vaca TLC,Michoacán,Apatzingan,19.086338,-102.352936,Pendiente,,
OXXO FERROCARRIL,Michoacán,Apatzingan,19.081252,-102.352751,Pendiente,,
Oxxo húngaro,Michoacán,Apatzingan,19.104592,-102.352071,Pendiente,,
Paseo Akia,Michoacán,Apatzingan,19.088827,-102.373576,Pendiente,,
Plásticos México,Michoacán,Apatzingan,19.084577,-102.356187,Pendiente,,
Procell movil,Michoacán,Apatzingan,19.105521,-102.357498,Pendiente,,
Recargas Telcel,Michoacán,Apatzingan,19.112412,-102.360835,Pendiente,,
Reparacion De Celulares. Droid,Michoacán,Apatzingan,19.087108,-102.352024,Pendiente,,
"Reparación de Celulares ""Sanchez""",Michoacán,Apatzingan,19.082058,-102.356564,Pendiente,,
Reparación de celulares,Michoacán,Apatzingan,19.087906,-102.357905,Pendiente,,
SISTEMATIC,Michoacán,Apatzingan,19.091701,-102.365215,Pendiente,,
SUPER CELL,Michoacán,Apatzingan,19.10006,-102.367074,Pendiente,,
SantiPhone,Michoacán,Apatzingan,19.079999,-102.357011,Pendiente,,
Supercell,Michoacán,Apatzingan,19.087914,-102.354291,Pendiente,,
Telcel Centro de atención a clientes,Michoacán,Apatzingan,19.073385,-102.348236,Pendiente,,
Telecable Apatzingan,Michoacán,Apatzingan,19.08569,-102.353329,Pendiente,,
Telefonia Celular El Guero 4,Michoacán,Apatzingan,19.089045,-102.354172,Pendiente,,
Telmex,Michoacán,Apatzingan,19.086149,-102.353547,Pendiente,,
USASHOP(Richard),Michoacán,Apatzingan,19.086585,-102.35348,Pendiente,,
Yo Reparo,Michoacán,Apatzingan,19.104356,-102.360777,Pendiente,,
caseshop Apatzingán,Michoacán,Apatzingan,19.091728,-102.353471,Pendiente,,
reparación de celulares fix celulares,Michoacán,Apatzingan,19.083576,-102.354061,Pendiente,,
syrelectron,Michoacán,Apatzingan,19.088772,-102.355512,Pendiente,,
REPARATUCEL PAQUITO,Michoacán,Cheran,19.687855,-101.954443,Pendiente,,
Reparación de celulares,Michoacán,Cheran,19.094026,-101.521739,Pendiente,,
Telcel Cheran,Michoacán,Cheran,19.688012,-101.955603,Pendiente,,
Urmatec,Michoacán,Cheran,19.687648,-101.956123,Pendiente,,
zuryphones,Michoacán,Cheran,19.687127,-101.956224,Pendiente,,
"ACCESORIOS ""SMART CELL""",Michoacán,Ciudad Hidalgo,19.691199,-100.554099,Pendiente,,
AT&T,Michoacán,Ciudad Hidalgo,19.687575,-100.550667,Pendiente,,
Accesorios y reparaciones para celulares,Michoacán,Ciudad Hidalgo,19.913521,-100.22689,Pendiente,,
Banco BBVA,Michoacán,Ciudad Hidalgo,19.690464,-100.556576,Pendiente,,
CELL TECH,Michoacán,Ciudad Hidalgo,19.689053,-100.550494,Pendiente,,
